u'mvx79E8AAAAJ', 'Akron University',University of Akron Main Campus
u'2FJuGGkAAAAJ', 'University of California',University of California-Davis
u'2TKnDG8AAAAJ', 'University of California',University of California-Davis
u'4KPm3fUAAAAJ', 'University of California',University of California-Davis
u'4LK1mygAAAAJ', 'University of California',University of California-Riverside
u'50k_IpMAAAAJ', 'University of California',University of California-Santa Cruz
u'66AepygAAAAJ', 'University of California',University of California-Davis
u'BOCmDQIAAAAJ', 'University of California',University of California-Berkeley
u'dcTlPyIAAAAJ', 'University of California',University of California-Irvine
u'DmasEl8AAAAJ', 'University of California',University of California-Santa Cruz
u'EnWAN9gAAAAJ', 'University of California',University of California-Santa Barbara
u'gBh1wFwAAAAJ', 'University of California',University of California-Davis
u'g--NxecAAAAJ', 'University of California',University of California-Berkeley
u'hDRoPd4AAAAJ', 'University of California',University of California-Davis
u'iDLb9WoAAAAJ', 'University of California',University of California-Riverside
u'ikqMxAUAAAAJ', 'University of California',University of California-Santa Barbara
u'iSSbrhwAAAAJ', 'University of California',University of California-Riverside
u'j9OvBCoAAAAJ', 'University of California',University of California-Santa Barbara
u'k3YYLkEAAAAJ', 'University of California',University of California-Santa Cruz
u'l_9TshUAAAAJ', 'University of California',University of California-Santa Barbara
u'le3-lIMAAAAJ', 'University of California',University of California-Irvine
u'LKYjq7QAAAAJ', 'University of California',University of California-Berkeley
u'LrlwhwUAAAAJ', 'University of California',University of California-Davis
u'm32l0cMAAAAJ', 'University of California',University of California-Irvine
u'MCBQlTgAAAAJ', 'University of California',University of California-Davis
u'mZHtRjAAAAAJ', 'University of California',University of California-Los Angeles
u'nl6d1xcAAAAJ', 'University of California',University of California-Los Angeles
u'npE9NiAAAAAJ', 'University of California',University of California-Irvine
u'QPeYICIAAAAJ', 'University of California',University of California-Davis
u'RryJe9cAAAAJ', 'University of California',University of California-Davis
u'SC0-DtIAAAAJ', 'University of California',University of California-Santa Cruz
u'sD8YzJgAAAAJ', 'University of California',University of California-Santa Barbara
u'TH_j5GsAAAAJ', 'University of California',University of California-San Diego
u'TZ2NznwAAAAJ', 'University of California',University of California-Santa Barbara
u'uEWv9pAAAAAJ', 'University of California',University of California-Los Angeles
u'UYfSI9EAAAAJ', 'University of California',University of California-Davis
u'xQlXXWQAAAAJ', 'University of California',University of California-Riverside
u'xSS59UwAAAAJ', 'University of California',University of California-Santa Cruz
u'-YTv2dQAAAAJ', 'University of California',University of California-Santa Barbara
u'zVcCW9UAAAAJ', 'University of California',University of California-Santa Barbara
u'wVMGB1YAAAAJ', 'University of California - Berkeley',University of California-Berkeley
u'oFpd_SAAAAAJ', 'University of California - Irvine',University of California-Irvine
u'yGFYSDoAAAAJ', 'University of California - Los Angeles',University of California-Los Angeles
u'XgB4WgEAAAAJ', 'University of California - Santa Cruz',University of California-Santa Cruz
u'fPR9ZeMAAAAJ', 'University of California at Berkeley',University of California-Berkeley
u'HmZZwgkAAAAJ', 'University of California at Davis',University of California-Davis
u'_umQuNkAAAAJ', 'University of California Berkeley',University of California-Berkeley
u'qOMtYe4AAAAJ', 'University of California Berkeley',University of California-Berkeley
u'PEw-C7MAAAAJ', 'University of California Davis',University of California-Davis
u'a0D_1-kAAAAJ', 'University of California Davis',University of California-Davis
u'gdG7lpYAAAAJ', 'University of California Davis',University of California-Davis
u'PpzsjioAAAAJ', 'University of California Davis',University of California-Davis
u'lmqolqwAAAAJ', 'University of California Davis',University of California-Davis
u'WfKvBp4AAAAJ', 'University of California Davis',University of California-Davis
u'UYjzn9QAAAAJ', 'University of California Davis',University of California-Davis
u'3ZkeeJ8AAAAJ', 'University of California Davis',University of California-Davis
u'TH7lIccAAAAJ', 'University of California Davis',University of California-Davis
u'edli0pgAAAAJ', 'University of California Davis',University of California-Davis
u'DJRzQWoAAAAJ', 'University of California Irvine',University of California-Irvine
u'mxjCV1YAAAAJ', 'University of California Irvine',University of California-Irvine
u'mxjCV1YAAAAJ', 'University of California Irvine',University of California-Irvine
u'EVaBxPAAAAAJ', 'University of California Irvine',University of California-Irvine
u'fLsUhSwAAAAJ', 'University of California Los Angeles',University of California-Los Angeles
u'qxbpxTsAAAAJ', 'University of California Riverside',University of California-Riverside
u'-Udc0ekAAAAJ', 'University of California Riverside',University of California-Riverside
u'VrhFO3kAAAAJ', 'University of California- Riverside',University of California-Riverside
u'9btfPtwAAAAJ', 'University of California Santa Barbara',University of California-Santa Barbara
u'66Ry1r0AAAAJ', 'University of California Santa Barbara',University of California-Santa Barbara
u'W0SpAvYAAAAJ', 'University of California Santa Barbara',University of California-Santa Barbara
u'l6ojg3IAAAAJ', 'University of California Santa Barbara',University of California-Santa Barbara
u'LtUBsnwAAAAJ', 'University of California Santa Barbara',University of California-Santa Barbara
u'qu2MG3UAAAAJ', 'University of California Santa Barbara',University of California-Santa Barbara
u'h9c5EbwAAAAJ', 'University of California Santa Cruz',University of California-Santa Cruz
u'jVfbGbEAAAAJ', 'University of California Santa Cruz',University of California-Santa Cruz
u'0fxBLS4AAAAJ', 'University of California-Santa Barbara (USA)',University of California-Santa Barbara
u'Jea7-RMAAAAJ', 'University of Cincinnati',University of Cincinnati-Main Campus
u'4JVNNmMAAAAJ', 'University of Cincinnati',University of Cincinnati-Main Campus
u'qeTvs9cAAAAJ', 'University of Colorado',University of Colorado at Boulder
u'SKRWv2IAAAAJ', 'University of Colorado',University of Colorado at Boulder
u'0D_dsOIAAAAJ', 'University of Florida- PhD Student',University of Florida
u'TkCvgAEAAAAJ', 'University of Georgia; University of Exeter',University of Georgia
u'Tk9WP40AAAAJ', 'University of Illinois',University of Illinois at Chicago
u'1uCjSgEAAAAJ', 'University of Illinois',University of Illinois at Urbana-Champaign
u'Y___s5cAAAAJ', 'University of Illinois',University of Illinois at Urbana-Champaign
u'vuP1txUAAAAJ', 'University of Illinois',University of Illinois at Urbana-Champaign
u'nLHi251JEvEC', 'University of Illinois',University of Illinois at Urbana-Champaign
u'C9xq_zwAAAAJ', 'University of Illinois',University of Illinois at Urbana-Champaign
u'Qw-VLjsAAAAJ', 'University of Illinois',University of Illinois at Urbana-Champaign
u'gecc4ysAAAAJ', 'University of Illinois',University of Illinois at Urbana-Champaign
u'xq1m_woAAAAJ', 'University of Illinois',University of Illinois at Urbana-Champaign
u'MWSGjZ4AAAAJ', 'University of Illinois',University of Illinois at Urbana-Champaign
u'Yrshk8cAAAAJ', 'University of Illinois at Urbana Champaign',University of Illinois at Urbana-Champaign
u'DLZrtZoAAAAJ', 'University of Illinois at Urbana-Champaign (UIUC)',University of Illinois at Urbana-Champaign
u'pj4O6JcAAAAJ', 'University of Maine; University of Arizona; McGill University; Michigan State',University of Maine
u'yiBETTwAAAAJ', 'University of Maryland',University of Maryland-College Park
u'NNfHt5YAAAAJ', 'University of Maryland',University of Maryland-Baltimore County
u'Xs180T0AAAAJ', 'University of Maryland',University of Maryland-College Park
u'4qHbOcsAAAAJ', 'University of Maryland',University of Maryland-College Park
u'V7pvcboAAAAJ', 'University of Maryland',University of Maryland-Baltimore County
u'Yy5PenMAAAAJ', 'University of Maryland',University of Maryland-College Park
u'7MfZxCEAAAAJ', 'University of Maryland',University of Maryland-College Park
u'59Ylg1oAAAAJ', 'University of Maryland',University of Maryland-College Park
u'K2oAEEkAAAAJ', 'University of Maryland',University of Maryland-College Park
u'H1IbSRQAAAAJ', 'University of Maryland',University of Maryland-College Park
u'c8BwJOYAAAAJ', 'University of Maryland Center for Environmental Science',University of Maryland-College Park
u'PewlQUIAAAAJ', 'University of Maryland Center for Environmental Science',University of Maryland-College Park
u'-0nYQVIAAAAJ', 'University of Maryland College Park',University of Maryland-College Park
u'i8GYxysAAAAJ', 'University of Massachusetts',University of Massachusetts-Boston
u'L2avF9wAAAAJ', 'University of Massachusetts',University of Massachusetts-Boston
u'FkbVuScAAAAJ', 'University of Massachusetts - Boston',University of Massachusetts-Boston
u'AIINUSQAAAAJ', 'University of Massachusetts at Amherst',University of Massachusetts Amherst
u'hJKBuhkAAAAJ', 'University of Massachusetts Boston',University of Massachusetts-Boston
u'2GWMBj8AAAAJ', 'University of Massachusetts Boston',University of Massachusetts-Boston
u'gNu_AeEAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'moocej8AAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'ijwXykUAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'I6gXFR0AAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'R1rjZj0AAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'6q1ez2UAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'N-m5u1cAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'6dBv_6gAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'69t3IhEAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'0fVKnEcAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'Tq9IRZsAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'Q0XCo0IAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u't4XWQ3MAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'wdVRIS0AAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'xic8kycAAAAJ', 'University of Minnesota',University of Minnesota-Twin Cities
u'YE73bs8AAAAJ', 'University of Minnesota - Twin Cities',University of Minnesota-Twin Cities
u'oQ_ssPUAAAAJ', 'University of Mississippi',University of Mississippi Main Campus
u'ohf66pEAAAAJ', 'University of Missouri',University of Missouri-Columbia
u'iqE1ARMAAAAJ', 'University of Missouri',University of Missouri-Columbia
u'LcKolWUAAAAJ', 'University of Missouri',University of Missouri-Columbia
u'N7cAQMcAAAAJ', 'University of Missouri - St. Louis',University of Missouri-St Louis
u'lOHMjvYAAAAJ', 'University of Missouri Kansas City',University of Missouri-Kansas City
u'YU_tCvwAAAAJ', 'University of Missouri-St. Louis',University of Missouri-St Louis
u'0Gx2tTMAAAAJ', 'University of Missouri-St. Louis',University of Missouri-St Louis
u'jxSym1gAAAAJ', 'University of Montana',The University of Montana
u'afv9oikAAAAJ', 'University of Nebraska',University of Nebraska-Lincoln
u'YH0HZCkAAAAJ', 'University of Nebraska - Lincoln',University of Nebraska-Lincoln
u'LYo2vYYAAAAJ', 'University of Nebraska Lincoln',University of Nebraska-Lincoln
u'QANRcMAAAAAJ', 'University of Nevada',University of Nevada-Reno
u'YcYAvWoAAAAJ', 'University of Nevada',University of Nevada-Reno
u'Qamd638AAAAJ', 'University of Nevada Reno',University of Nevada-Reno
u'DLEotWIAAAAJ', 'University of New Hampshire',University of New Hampshire-Main Campus
u'qIFCelIAAAAJ', 'University of New Hampshire',University of New Hampshire-Main Campus
u'4bF0Wj8AAAAJ', 'University of New Hampshire',University of New Hampshire-Main Campus
u'gzkDWSgAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'RrsIFt8AAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'1836aAkAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'eKjuKHMAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'WSfSPbgAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'uLZVJuAAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'2gTmnm8AAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'UGTT-LwAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'U2nmaqEAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'kcye0lEAAAAJ', 'University of New Mexico',University of New Mexico-Main Campus
u'u-w6khsAAAAJ', 'University of North Carolina',University of North Carolina at Chapel Hill
u'5IjZfl4AAAAJ', 'University of North Carolina',University of North Carolina at Chapel Hill
u'8vsRBCgAAAAJ', 'University of North Carolina at Chapel HIll',University of North Carolina at Chapel Hill
u'1V3G8cAAAAAJ', 'University of North Carolina Wilmington',University of North Carolina at Wilmington
u'F3HxK8UAAAAJ', 'University of North Carolina Wilmington',University of North Carolina at Wilmington
u'pjKJLOAAAAAJ', 'University of North Carolina Wilmington',University of North Carolina at Wilmington
u'b3y2fQUAAAAJ', 'University of North Texas (USA) & Inst. of Ecology and Biodiversity',University of North Texas
u'zlV6CZAAAAAJ', 'University of North Texas Geography',University of North Texas
u'Xo7n5z0AAAAJ', 'university of oklahoma',University of Oklahoma Norman Campus
u'p0eGXuYAAAAJ', 'University of South Carolina',University of South Carolina-Columbia
u'yy-mleoAAAAJ', 'University of South Carolina',University of South Carolina-Columbia
u'mnUnD2wAAAAJ', 'University of South Carolina',University of South Carolina-Columbia
u'j0-JhUcAAAAJ', 'University of South Carolina',University of South Carolina-Columbia
u'6NV95BAAAAAJ', 'University of South Florida',University of South Florida-Tampa
u'qlaN2UoAAAAJ', 'University of South Florida',University of South Florida-Tampa
u'yaRksUAAAAAJ', 'University of South Florida',University of South Florida-Tampa
u'5lkN3ukAAAAJ', 'University of South Florida',University of South Florida-Tampa
u'2-VRxx8AAAAJ', 'University of South Florida',University of South Florida-Tampa
u'zhMURM8AAAAJ', 'University of Tennessee',The University of Tennessee
u'w1_vxXcAAAAJ', 'University of Tennessee',The University of Tennessee
u'Du21jO8AAAAJ', 'University of Tennessee',The University of Tennessee
u'lJidUkQAAAAJ', 'University of Tennessee',The University of Tennessee
u'4EJFxjsAAAAJ', 'University of Tennessee',The University of Tennessee
u'ZFB7gfYAAAAJ', 'University of Tennessee',The University of Tennessee
u'zsptDjcAAAAJ', 'University of Tennessee',The University of Tennessee
u'VTCI_q0AAAAJ', 'University of Tennessee',The University of Tennessee
u'I35ih68AAAAJ', 'University of Tennessee at Chattanooga',The University of Tennessee at Chattanooga
u'DHYTYWwAAAAJ', 'University of Tennessee Knoxville',The University of Tennessee
u'iqlfboYAAAAJ', 'University of Texas',The University of Texas at Austin
u'8v3hRYcAAAAJ', 'University of Texas',The University of Texas at Austin
u'n0JfTlYAAAAJ', 'University of Texas',The University of Texas at Austin
u's6XRPz0AAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'LSkqsVYAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'AD0oRPgAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'HWxmXLwAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'_mJXnI4AAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'CD6IAXYAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'B4xRvYkAAAAJ', 'University of Texas at Austin',The University of Texas at Austin
u'i7_dFwMAAAAJ', 'University of Virginia',University of Virginia-Main Campus
u'd-v3RSkAAAAJ', 'University of Virginia',University of Virginia-Main Campus
u'0nW57DUAAAAJ', 'University of Virginia',University of Virginia-Main Campus
u'OoqZ6PAAAAAJ', 'University of Wisconsin',University of Wisconsin-Madison
u'KAZsZhIAAAAJ', 'University of Wisconsin',University of Wisconsin-Madison
u'djp0QC0AAAAJ', 'University of Wisconsin - Eau Claire',University of Wisconsin-Eau Claire
u'Q3ekwgkAAAAJ', 'University of Wisconsin - Madison',University of Wisconsin-Madison
u'otiE2Y0AAAAJ', 'University Program in Ecology',Duke University
u'45lY350AAAAJ', 'Utah State University Tooele',Utah State University-Regional Campuses and Distance Education
u'mQyS9wcAAAAJ', 'Virginia Tech University',Virginia Polytechnic Institute and State University
u'-N08mPcAAAAJ', 'Washington State University Vancouver',Washington State University
u'nzTXeNsAAAAJ', 'Washington University in St. Louis',Washington University in St Louis
u'Zdz8FX4AAAAJ', 'Washington University in St. Louis',Washington University in St Louis
u'G-D3i2YAAAAJ', 'Washington University in St. Louis',Washington University in St Louis
u'48aHD6IAAAAJ', 'Washington University St. Louis',Washington University in St Louis
u'PN-1ZQUAAAAJ', 'Widener Univerity',Widener University-Main Campus
u'LNW3meMAAAAJ', 'Wright State University',Wright State University-Main Campus
